date,FFR,CPI,PCE,PPI,UNEMP,RGDP,GDP,M2
1/1/1960,3.93,29.397,326.4,31.667,5.1,3277.847,542.648,1.817
4/1/1960,3.7,29.573,332.2,31.733,5.2,3260.177,541.08,1.797
7/1/1960,2.94,29.59,332.1,31.633,5.5,3276.133,545.604,1.78
10/1/1960,2.3,29.78,334,31.7,6.3,3234.087,540.197,1.737
1/1/1961,1.99,29.84,334.5,31.8,6.8,3255.914,545.018,1.723
4/1/1961,1.73,29.83,339.5,31.467,7,3311.181,555.545,1.725
7/1/1961,1.68,29.947,342.4,31.5,6.8,3374.742,567.664,1.733
10/1/1961,2.4,29.99,349.6,31.533,6.2,3440.924,580.612,1.742
1/1/1962,2.46,30.107,354.9,31.7,5.6,3502.298,594.013,1.746
4/1/1962,2.61,30.22,360.5,31.533,5.5,3533.947,600.366,1.728
7/1/1962,2.85,30.307,364.4,31.7,5.6,3577.362,609.027,1.726
10/1/1962,2.92,30.38,370.6,31.667,5.5,3589.128,612.28,1.701
1/1/1963,2.97,30.477,374.3,31.533,5.8,3628.306,621.672,1.69
4/1/1963,2.96,30.533,378.4,31.5,5.7,3669.02,629.752,1.675
7/1/1963,3.33,30.72,385.4,31.633,5.5,3749.681,644.444,1.68
10/1/1963,3.45,30.803,390,31.633,5.6,3774.264,653.938,1.672
1/1/1964,3.46,30.93,399.6,31.667,5.5,3853.835,669.822,1.685
4/1/1964,3.49,30.98,407.5,31.533,5.2,3895.793,678.674,1.679
7/1/1964,3.46,31.05,416.4,31.633,5,3956.657,692.031,1.674
10/1/1964,3.58,31.193,419,31.7,5,3968.878,697.319,1.653
1/1/1965,3.98,31.29,429.7,31.867,4.9,4064.915,717.79,1.668
4/1/1965,4.08,31.49,436.6,32.167,4.7,4116.267,730.191,1.669
7/1/1965,4.08,31.583,445.8,32.4,4.4,4207.782,749.323,1.68
10/1/1965,4.17,31.75,459.8,32.633,4.1,4304.731,771.857,1.693
1/1/1966,4.56,32.047,470.1,33.1,3.9,4409.518,795.734,1.713
4/1/1966,4.91,32.337,475.2,33.233,3.8,4424.581,804.981,1.712
7/1/1966,5.41,32.617,484.3,33.567,3.8,4462.053,819.638,1.733
10/1/1966,5.56,32.883,490.1,33.333,3.7,4498.66,833.302,1.744
1/1/1967,4.82,32.967,494.3,33.367,3.8,4538.498,844.17,1.739
4/1/1967,3.99,33.167,503.4,33.3,3.8,4541.28,848.983,1.708
7/1/1967,3.89,33.5,510.7,33.433,3.8,4584.246,865.233,1.695
10/1/1967,4.17,33.867,518.2,33.5,3.9,4618.812,881.439,1.691
1/1/1968,4.79,34.2,536.3,33.967,3.7,4713.013,909.387,1.715
4/1/1968,5.98,34.533,550,34.167,3.6,4791.758,934.344,1.733
7/1/1968,5.95,35,566.1,34.3,3.5,4828.892,950.825,1.73
10/1/1968,5.92,35.433,574.9,34.5,3.4,4847.885,968.03,1.722
1/1/1969,6.57,35.867,587,35,3.4,4923.76,993.337,1.737
4/1/1969,8.33,36.433,598.4,35.5,3.4,4938.728,1009.02,1.749
7/1/1969,8.98,36.933,608.6,35.767,3.6,4971.349,1029.956,1.774
10/1/1969,8.94,37.5,620.6,36.1,3.6,4947.104,1038.147,1.773
1/1/1970,8.56,38.1,631.7,36.633,4.2,4939.759,1051.2,1.789
4/1/1970,7.88,38.633,641.6,36.833,4.8,4946.77,1067.375,1.804
7/1/1970,6.71,39.033,653.5,37.033,5.2,4992.357,1086.059,1.795
10/1/1970,5.57,39.6,660.2,37.1,5.8,4938.857,1088.608,1.752
1/1/1971,3.86,39.933,679.2,37.6,5.9,5072.996,1135.156,1.77
4/1/1971,4.57,40.3,693.2,38.067,5.9,5100.447,1156.271,1.736
7/1/1971,5.48,40.7,705.6,38.367,6,5142.422,1177.675,1.717
10/1/1971,4.75,41,721.7,38.4,5.9,5154.547,1190.297,1.69
1/1/1972,3.55,41.333,739,39.067,5.8,5249.337,1230.609,1.696
4/1/1972,4.3,41.6,757.4,39.5,5.7,5368.485,1266.369,1.703
7/1/1972,4.74,41.933,775.8,40.1,5.6,5419.184,1290.566,1.679
10/1/1972,5.15,42.367,800.5,40.5,5.4,5509.926,1328.904,1.673
1/1/1973,6.54,43.033,825,42.467,4.9,5646.286,1377.49,1.694
4/1/1973,7.82,43.933,840.5,44.533,4.9,5707.755,1413.887,1.71
7/1/1973,10.56,44.8,858.9,46.367,4.8,5677.738,1433.838,1.711
10/1/1973,10,45.933,873.9,46.733,4.8,5731.632,1476.289,1.739
1/1/1974,9.33,47.3,891.9,49.867,5.1,5682.353,1491.209,1.725
4/1/1974,11.25,48.567,920.4,51.6,5.2,5695.859,1530.056,1.748
7/1/1974,12.1,49.933,949.3,55.267,5.6,5642.025,1560.026,1.764
10/1/1974,9.34,51.467,959.1,57.2,6.6,5620.126,1599.679,1.781
1/1/1975,6.31,52.567,985.2,57.167,8.3,5551.713,1616.116,1.766
4/1/1975,5.42,53.2,1013.6,57.8,8.9,5591.382,1651.853,1.741
7/1/1975,6.16,54.267,1047.2,59.033,8.5,5687.087,1709.82,1.739
